1,not difficult to predict the coming of a global cold,[],[difficult, cold],negative
2,stevenbeschloss: anyone doubt the cold blooded butcher of moscow sleeps well,[well],[doubt, butcher, cold],negative
3,hariolor: the  corpse  was  no  longer  cold  because  there  never  had  been  any  corpse  for  you  to  mourn  over  in  the  first,[],[cold, mourn],negative
976,ih anjig kok jadi flu,[],[],neutral
977,danielgoyal: just heard  bbcradio4 state: is there any point in nhs staff testing for covid when this strain is less dangerous than the,[],[strain, dangerous],negative
978,danielgoyal: just heard  bbcradio4 state: is there any point in nhs staff testing for covid when this strain is less dangerous than the,[],[strain, dangerous],negative
979,judylennox1  tonyhinton2016 yes barely any side effects and yes you will need booster shots people get flu shots every year you won't need to wear face masks unless your immunity is down,[],[],neutral
980,kosta_mira: why do globalist creeps keep predicting 'the next pandemic',[],[creeps],negative
981,over half a million birds have become infected with  birdflu in albania,[],[infected],negative
982,bradley31761624: spoiler alert   omicron is not at all dangerous to the children or anyone who is not vulnerable and anyone pushing thi,[],[vulnerable, dangerous],negative
983,brasil ontem no maracan,[],[],neutral
984,danielgoyal: to be absolutely clear: the risk to the individual of covid at this time is much,[],[risk],negative
985,cmckenney i hope you feel better soon  so mild flu like symptoms you say  does that make all the damage done by the government's covid response,[better, like],[symptoms, damage],neutral
986,naughtynell101:  geezerpaulr god no  unvaccinated  over covid in 4 days  i ve had worse flu bugs  the media scare mongering and propaga,[],[bugs, scare, worse],negative
987,beomgyuli tapi biasanya kak klo gitu kaka mau pilek atau flu karena biasanya kaya gitu tanda2nya,[],[],neutral
988,fluminensefc: flu,[],[],neutral
989,maracana: flu,[],[],neutral
990,cnbctv18news: even as covid 19 vaccinations are dwindling,[],[dwindling],negative
991,lesstonehouse: there's a big covid 19 virus wave coming soon combining with the winter flu,[],[virus],negative
992,danielgoyal: just heard  bbcradio4 state: is there any point in nhs staff testing for covid when this strain is less dangerous than the,[],[strain, dangerous],negative
993,erictopol child deaths were 7x more for omicron ba 2 covid than flu,[],[],neutral
994,sayers_molly for me  i won t be having a flu jab either  i simply just don t trust them,[trust, won],[],positive
995,mmtchi: donc maintenant les m dias vous expliquent que si des milliers de gens ont la "super grippe rhume" c'est parce que leur syst me,[],[],neutral
996,danielgoyal: just heard  bbcradio4 state: is there any point in nhs staff testing for covid when this strain is less dangerous than the,[],[strain, dangerous],negative
997,gsilibri fa o uma aposta com qualquer um com a mistura maligna de domenec,[],[],neutral
998,neejab: think about that  a virus that some still call "just the flu" or "mild symptoms"  resulting in an inability to continue one's l,[],[inability, virus],negative
999,f_glass_author i probably shouldn't say this  tempting fate  but i've never had flu thankfully,[tempting],[],positive
1000,nostalgiaflu: os caras ainda cismam batendo na mesma tecla dizendo que o fluminense n o paga o maracan  sendo que j  foi falado que est,[],[],neutral
1001,rodrigoffc_11: flu 👏🏾🇭🇺 https:  t co zjz9vqwpyk,[],[],neutral
1002,aussiebotstudio: there is no super flu,[super],[],positive
1003,just stay home when you have a bad cold or flu symptoms for a couple days like you normally would  fyi cases,[like],[symptoms, bad, cold],negative
1004,why do globalist creeps keep predicting 'the next pandemic',[],[creeps],negative
1005,mbolotnikova: one county from me in wisconsin,[],[],neutral
1006,bradley31761624: spoiler alert   omicron is not at all dangerous to the children or anyone who is not vulnerable and anyone pushing thi,[],[vulnerable, dangerous],negative
1007,mmtchi: donc maintenant les m dias vous expliquent que si des milliers de gens ont la "super grippe rhume" c'est parce que leur syst me,[],[],neutral
1008,neejab: think about that  a virus that some still call "just the flu" or "mild symptoms"  resulting in an inability to continue one's l,[],[inability, virus],negative
1009,transsplendor: you can live in a free world where dr 's mccullough,[free],[],positive
1010,itsocheagain hit with the virus,[],[virus],negative
1011,corleone_roller horseschitte    a multivalent combined flu covid shot will be annual and normal within two years   already exists    gt  novavax multivalent,[],[],neutral
1012,dontbuthesun8 so covid is more deadly to the immunocompromised than flu,[],[deadly],negative
1013,aussiebotstudio: there is no super flu,[super],[],positive
1014,farmers say they sounded the alarm weeks ago,[],[alarm],negative
1015,thepiratehvh:  saravic333 being  removed from human contact for extended periods of time reduces ones t cell count and immunity respons,[],[],neutral
1016,mcconnot2  micheallehane i had the flu and it was worse then covid  there are 53 people in icu out of a population of 5m  get your head checked,[],[worse],negative
1017,high_imbrandy well to my defense it was the third thing that came to mind  the first two were foodpoisoning or stomach flu,[well],[],positive
1018,cbarvensky:  juniorgalette93  nfl 😂 these muthafucka better start enforcing ur security or some,[better],[],positive
1019,dinosaurtruther lord,[],[],neutral
1020,cbarvensky:  juniorgalette93  nfl 😂 these muthafucka better start enforcing ur security or some,[better],[],positive
1021,longadin: can i just say mask off is fine,[fine],[],positive
1022,lancersxyz  sinysterfn on god flu saucy,[],[],neutral
1023,mikebroderick33  antarestrader  beingcharisblog  drleanawen what the hell did you do during cold and flu season before this scandemic,[],[cold, hell],negative
1024,cbarvensky:  juniorgalette93  nfl 😂 these muthafucka better start enforcing ur security or some,[better],[],positive
1025,tirrelous but the problem is you take away the choices of the people you re around afterwards,[],[problem],negative
1026,sandrodemaio tell me prior to covid how many other flu seasons required three flu shots in one year,[],[],neutral
1027,cdcgov:  cdc study shows  flu and  covid19 can both cause serious illnesses that can lead to hospitalization in children  it s importan,[lead],[],positive
1028,julianisland  katiecmoliver it s definitely going to happen after the avian flu is over,[],[],neutral
1029,rosenbusch_:  nach zwei jahren corona  isolation bricht in australien eine "supererk ltung" aus:,[],[isolation],negative
1030,bro this flu got me sounding like dollar tree pop smoke,[like],[smoke],neutral
1031,this is why the flu got cured  pretty sure no "liberal fact checkers" will touch this,[pretty],[],positive
1032,cbarvensky:  juniorgalette93  nfl 😂 these muthafucka better start enforcing ur security or some,[better],[],positive
1033,ksorbs: remember when we treated the flu with tea,[],[],neutral
1034,i don't really like back to college cuz i need to packing a lot of stuff and i'm not good with dust,[like, good],[dust],positive
1035,eppursimuovee_ 7 ya  na dayanan bir hikaye,[],[],neutral
1036,duuuhhh kalo flu suka gaenakk bobo,[],[],neutral
1037,cbarvensky:  juniorgalette93  nfl 😂 these muthafucka better start enforcing ur security or some,[better],[],positive
1038,wsjp_insight: https:  t co lp2jyovod8🏥covid19🫁influenza,[],[],neutral
1039,howardstern hey moron,[],[moron],negative
1040,during the last severe outbreak in 2014 15,[],[severe, outbreak],negative
1041,modernminotaur: made a good supper last night and im feelin much better today both with the flu cold and chest pains,[better, good],[cold, pains],neutral
1042,dale flu   https:  t co 3dhtcn5fxb,[],[],neutral
1043,mike_l_bailey  justintrudeau actually no,[],[],neutral
1044,unusual_whales people stopped getting the flu shot  had to come up with something new,[],[],neutral
1045,atagi to recommend 4th  covid vaccine for over 65's ahead of the flu season,[recommend],[],positive
1046,sandrodemaio no chance,[],[],neutral
1047,motorsport yes  because its no different from any other communicable disease  covid is no deadlier than ur common flu  nor will it be spread more easily,[],[],neutral
1048,geostylegeo interesting  well,[interesting, well],[],positive
1049,jilevin: bird flu cases surge in the u s  what we know so far : is bird flu a risk to people in the u s   the cdc is closely watching a,[],[risk],negative
1050,ksorbs: remember when we treated the flu with tea,[],[],neutral
1051,"at the age of 107,[],[],neutral
1052,kirsbtein gakkk tiba tiba aja sakit tenggorokannya aku ga flu atau apa kok,[],[],neutral
1053,jameshesp: covid is officially less deadly than the common flu  remind me again what social restrictions we put in place for that,[],[deadly],negative
1054,mahyartousi so that's most probably one rona,[],[],neutral
1055,scribereinmurum thanks  i don't quite know what it is  a less severe flu,[],[severe],negative
1056,janelcortez  tedcruz so how did you live before with the flu roaming around,[],[],neutral
1057,micheallehane: t naiste tells colleagues that the cmo doesn t see the need for new restrictions to deal with the surge in covid cases,[],[],neutral
1058,ateap0tist  kmsurf17  angrycardio like this time,[like],[],positive
1059,still very sick  sleeping most of the day  pretty miserable when not sleeping  negative rapid test  was exposed to the flu during production week so that might be what i have  my daughter is better though   so there is hope  poor hobi  i commiserate   😔 https:  t co ql8q88nxxn,[better, pretty, rapid],[negative, commiserate, miserable, poor, sick],negative
1060,nicovedrines: la grippe est un rep re important,[important],[],positive
1061,aubreyandgus  optimismworks00  jujuliagrace flu is not a pandemic and is prevalent all over the world  we accept it will never disappear with 100s of 000s dying globally every year and get on with life  the best defence is good eating  amp  exercise habits  unfortunately,[best, good],[dying, unfortunately],neutral
1062,atlantiso1:  gojira_sd  freeus551 more children died from the swine flu than that  16,[],[died],negative
1063,paulinam1306 she's been sick from tuesday flu,[],[sick],negative
1064,bornofshade sorry to hear that    i got it with all my family 2 weeks after 3 shot just a couple of days of mild flu and some headache hoping the same for you take care and rest as much as possible   🖤,[],[sorry, headache],negative
1065,mvalencia36: it's cold guys buy all in one booster for flu and bad skin etc for only r170 please dm if you interested or whatsapp me on,[],[bad, cold],negative
1066,every for profit hospital would never,[],[],neutral
1067,poyserdave1: aren t seasonal flu and the common cold,[],[cold],negative
1068,liilcndy whats the new it color flu 🗣🗣,[],[],neutral
1069,moontomysea:  expensive_hoe when people were saying covid is no worse than the flu like the flu doesn't kill thousands every year,[like],[kill, worse],negative
1070,lethal type of bird flu devastates poultry farms on east coast,[],[lethal, devastates],negative
1071,ichudov thank you :  i read that anosmia was associated to a lineage not ancestral and associated to a specific mutation  need to find the reference again,[thank],[],positive
1072,backtolife_2022: https:  t co qsxsl5tnwf https:  t co oogxofgx0v,[],[],neutral
1073,blackknight10k i once got iv antibiotics for a thing  flu got out of hand while traveling,[],[],neutral
1074,haatheks en ik had man flu en dat is altijd nog veel erger,[],[],neutral
1075,tvc news nigeria is a 24 hour nigeria centric news,[],[],neutral
1076,lindalo62382451  foxnews is the flu not over yet as well,[well],[],positive
1077,giveawayhost lagi flu ini,[],[],neutral
1078,i_simplyi2: check this out   liniment  fever  flu  naturalcures  naturalremedy https:  t co aihyojsatz via  etsy  massageoil  herbalmed,[],[fever],negative
1079,here's a simmering local story:  avianflu has been detected in wild bird populations in 17 states and counting  is this worrisome  we've teed up an expert to explain and take your  birdflu q's this monday  sign up now  https:  t co yquaokib2h,[],[worrisome, wild],negative
1080,edwardr22377223  joncoopertweets old people  the flu kills thousands every year,[],[kills],negative
1081,nebraska farmers to destroy 570,[],[destroy],negative
1082,benhalephd: new study from the lab identifying host  interferon regulated  flu restriction factors  amp  characterising rabgap1l as limitin,[],[restriction],negative
1083,blackbluesee: i never understood why masks are so stigmatized here in the u s  i m from japan where we     regularly mask since before,[],[],neutral
1084,markchangizi: florida surgeon general joseph a  ladapo on face m    inefficacy,[],[inefficacy],negative
1085,sc79rj  stpontocom n o foi o  stpontocom n o po,[],[],neutral
1086,daniel_p_smith1  essexpr so the risk of catching a virus that now has a lower mortality rate than flu is still high  so what,[],[risk, virus],negative
1087,namibobami: i m not sure how many people are aware of this,[],[],neutral
1088,kitdrago:  augensteinwtop  gostowl  acluva  governorva  jasonmiyaresva the fact that the flu was practically non existent during the wh,[],[],neutral
1089,chrismasonview2: average age of death 82 5 in 2020 from flu and midazolam,[],[death],negative
1090,bwindels  mmbrenn  nytimes and by the way the common flu is deadly for many of those in the vulnerable population too  why don t we wear masks forever to limit the spread of flu,[],[deadly, vulnerable, limit],negative
1091,mazaciclismo yates and before  blingmatthews not many left for  greenedgeteam  has to be some super flu going around,[super],[],positive
1092,its ok doc,[],[],neutral
1093,it s just the flu   you dont get the flu four times a year,[],[],neutral
1094,more u s  covid 19 deaths than:,[],[],neutral
1095,bitcoin_phan: point  2  is totally understated,[],[],neutral
1096,nftlisa i refuse to be embarrassed about it  it worked so well  how is this not a product on the cold flu aisle  short lil  cotton tampons for your nose,[worked, well],[refuse, cold],neutral
1097,resist13579  krisvancleave  l_a_baker how about you stop being insane and let your kids be normal given that covid now has a cfr lower than the flu  your kids will grow up paranoiacs and without social skills if you keep this up  they don t need either the masks or vaccines  wake up and smell the coffee,[],[insane, smell],negative
1098,imagine every for profit hospital,[],[],neutral
1099,in the fda document,[],[],neutral
1100,poyserdave1  sihartley3 it s a scam   we have had colds and flu forever   every winter most people get a cold or even flu    the fact they rebranded it to inject the planet with gene therapy is no longer a secret   the evidence is there   the data of injury is there   only ones getting omicron  💉💉💉,[],[scam, cold, injury],negative
1101,str1cken seems like we are heading to endemic territory so i'm curious where the daily deaths will end up,[like],[],positive
1102,essexpr a virus now less serious than seasonal flu and a variant,[],[virus],negative
1103,benhalephd: new study from the lab identifying host  interferon regulated  flu restriction factors  amp  characterising rabgap1l as limitin,[],[restriction],negative
1104,allergyphd ugh ugh ugh i'm sorry  we had what was maybe "just" flu and yes it is a weird position to be in  hoping there's relief soon,[relief],[weird, sorry, ugh],negative
1105,moontomysea:  expensive_hoe when people were saying covid is no worse than the flu like the flu doesn't kill thousands every year,[like],[kill, worse],negative
1106,johncunnington5: how the flu and covid shots are different  dispelling some myths  https:  t co ljj5jlfdf1 via  brownstoneinst,[],[],neutral
1107,probably wasn't because every hospital in the entire world was getting mega bucks for treating covid cases  probably wasn't because every covid test couldn't determine between covid or the flu,[],[],neutral
1108,xstarlingbright:  expensive_hoe we have been entirely too lenient on the flu,[],[],neutral
1109,parisshillton1 gm   know what  i mean,[],[],neutral
1110,wlky 👋 i m the flu,[],[],neutral
1111,jbg_1979: this is seriously sick,[],[sick],negative
1112,montagueterrie: i'm still confused as to why triple jabbed people who are still contracting and transmitting a flu virus are allowed to,[],[confused, virus],negative
1113,davidchapman141 the flu is much worked than covid  i ve had the flu several times and covid twice now,[worked],[],positive
1114,redxathena  awesomechoi of the real numbers were released of people who actually died from covid and not with covid,[],[died],negative
1115,savagecharts it means your child has a cold flu,[],[cold],negative
1116,victoriancho: i think victoria should be so proud of this  amazing asset and working through any covid wave,[amazing, proud],[],positive
1117,actbrigitte america needs president trump,[trump],[],positive
1118,bbcscotlandnews oh do shut the f ck up  i am so sick of the bs   it's a common cold   it's been admitted that the tests can only detect flu and a cold   underlying illness in all of these no doubt,[],[bs, doubt, cold, sick, illness],negative
1119,cathygraphics3: i feel so bad for the flu if it has to spend time in my body  https:  t co efvmqadbcb,[],[bad],negative
1120,oklahoma city   g shai gilgeous alexander  ankle   amp  f oliver sarr  flu  are questionable,[],[questionable],negative
1121,nogooddeed2 cocktail flu   it s contagious,[],[contagious],negative
1122,yo guess who has the flu,[],[],neutral
1123,robertbarnes542 i m wearing one now as i wait in my hospital bed for surgery  why get the flu or covid when i m already miserable,[],[miserable],negative
1124,hawaiidelilah interesting  having a little trouble shaking off the little "flu like" non covid virus that literally nobody else would have hospitalized for,[interesting],[trouble, virus],negative
1125,deardolores:  oaba_off so,[],[],neutral
1126,kirstentelliott: 250 deaths yesterday from covid   over 800 in the last week  but sajid javid says it's just like flu and not to worry,[like],[worry],neutral
1127,u   o flu n o era o melhor time do brasil  sbtsportsrio,[],[],neutral
1128,bronsontheyid 🤣🤣 not even forced to isolate anymore  my household has it atm just is what it is  i still need to work i don t test myself unless im dying but even then its man flu,[work],[isolate, dying],negative
1129,bronsontheyid 🤣🤣 not even forced to isolate anymore  my household has it atm just is what it is  i still need to work i don t test myself unless im dying but even then its man flu,[work],[isolate, dying],negative
1130,kev21261  ffrankreynolds  sophielouisecc did you ever question the daily deaths from the flu,[],[],neutral
1131,nick_the_geek78: if omicron's death rate is even lower than the flu's,[],[death],negative
1132,flu https:  t co 5ss1kxnudf,[],[],neutral
1133,lovechantz listennnnn i m dying  i thought i had flu kmt,[],[dying],negative
1134,tnelrn:  ericmmatheny no covid,[],[],neutral
1135,sbtsportsrio  o flamengo negocia daniel cabral por 9 milh es de euros  50 milh es  de reais,[],[],neutral
1136,claudimotiva  norvisromero  marcelaercia  nnunezortiz  runpierwork13  mone_fb  charismagodoy  mena8708  _adrivictorinno  abanto_e1  rosanegra_08  carlosportfan  elanafernande  giosuemendoza  jemaco40  moni14908  clarkkent_post  sawar333  r3_adv hallgrimskirkja   reikiavik,[],[],neutral
1137,victoriancho: i think victoria should be so proud of this  amazing asset and working through any covid wave,[amazing, proud],[],positive
1138,ctvnews every year the same story,[],[],neutral
1139,ksorbs: remember when we treated the flu with tea,[],[],neutral
1140,lorijen33441 hell with thier flu natural immunity people it's a thing quit being scared little sheep this is getting old,[],[hell, scared],negative
1141,both of my kids have the flu and i can have my baby at anytime 😭 pray for me,[],[],neutral
1142,,[],[],neutral
1143,tpwk_betch: 🌈the priest thinks it s the devil🌈my mom thinks it s the flu🌈 but  girl  it s only you https:  t co qfnlqkeu3m,[],[],neutral
1144,johnsgunn also we have never tested for flu the way we have tested for covid,[],[],neutral
1145,frank_mossa  lfengland  spicyperspctiv_ covid is the flu  influenzas a  amp  b is all they got off tests from who  amp  various hospitals  that s exact the same as the flu,[],[],neutral
1146,oregon has had no discernable flu season since the pandemic began  there have been just nine hospitalizations due to the flu in the portland metro area so far this year,[],[],neutral
1147,kirstentelliott: 250 deaths yesterday from covid   over 800 in the last week  but sajid javid says it's just like flu and not to worry,[like],[worry],neutral
1148,davidanber: things that existed prior to 2020:,[],[],neutral
1149,bigcjat  hammertoe  risahoshinomd i'm dead serious  i aint had a flu shot since 2005 either  i eat nothing but plants and i've studied the body for a decade  you keep following the steeple and keep thinking covid id has a bigger impact than heart disease,[],[dead],negative
1150,thelegalbrain1 i could of saved the person who did that graph a bit of time    the exact survival rate of cv compared to flu is exactly the same      i believe this is because cv is rebranded flu  in fact the survival rate of cv would be much higher because with flu you actually get symptoms,[survival],[symptoms],positive
1151,toolsy3 was his injury,[],[injury],negative
1152,duff_armstrong like it or not covid is more severe than the flu and more easily transmitted  it doesn t care how you re feeling,[like],[severe],neutral
1153,xlfelix 1 : o 🦚 n o pode tornar o flu uma saf pq ele tem rabo preso com todos os feudos do modelo associativo,[],[],neutral
1154,wlky so another flu variant is making the rounds,[],[],neutral
1155,i really can t tell if i m actually sick or not  i m a  i have the flu  or nothing kind of person when getting sick  so this cold     like feeling is very foreign to me  i ll probably just stay in for the next week and hope i can knock it out by the weekend  i don t have body,[like],[knock, cold, sick],negative
1156,milkyjm_: jungkook: i'm sorry,[],[sorry],negative
1157,senzomzolo  masekovalencia darling  this  new  flu wouldn t be worrisome without covid  thats what i m saying  but it s okay i hear what y all saying i was just saying people shouldnt be paranoid or worry too much about this  fyi some flu like symptoms aren t documented coz some people dont go to the doc,[darling, like],[worry, symptoms, worrisome, paranoid],negative
1158,jad_963:  ericmmatheny i had flu like symptoms last week,[like],[symptoms],neutral
1159,sinysterfn 100 flu academy,[],[],neutral
1160,flu shot spot,[],[],neutral
1161,570k chickens to be destroyed in nebraska fight against bird flu  "   the birds will be "humanely depopulated and disposed of   "  bioethics,[],[],neutral
1162,merissahansen17  denutrients and those would ve died from the flu  if we still had the flu  but it was changed to covid,[],[died],negative
1163,allthatjazzz__ it s still a such thing as the flu common cold baby  if that test said negative roll with it you re negative   i hope you feel better soon  😘,[better],[negative, cold],negative
1164,msandristbuster: ha ha  health 'officials' now say because of lockdowns we're more susceptible to flu because our immunity has been com,[],[susceptible],negative
1165,stop5gct: here we go   ct will mandate for little kids in 3,[],[],neutral
1166,milkyjm_: jungkook: i'm sorry,[],[sorry],negative
1167,dowdedward: i have an idea for a dystopian movie:,[],[],neutral
1168,gambit__ka:  lawleysstyles honestly any flu smptoms now seems more scay even if they're not that serious so i get that and glad you tes,[glad],[],positive
1169,sailorrooscout it's like the flu vaccine,[like],[],positive
1170,bnicoleb12  _bigtee__ i was worried it was the food   hell is it never flu season,[],[worried, hell],negative
1171,bschillace: you know,[],[],neutral
1172,risahoshinomd: i never understood why masks are so stigmatized here in the u s  i m from japan where we have been regularly masking sin,[],[sin],negative
1173,tuitasutton li q a giovanna ia ficar de titular mesmo e a juma ia pro flu,[],[],neutral
1174,colmmcc18826248:  piersmorgan  ddiamond what a load of bollox  so why are the dates 2001 and 2002 coming up  they've been planning this,[],[],neutral
1175,pmd1058:  ericmmatheny i had covid in january of 2020  i was 61 then  i was sick for six days  i took my vitamins and flu meds,[],[sick],negative
1176,luisaporritt pcr is banned by cdc  it does not diagnose covid or infectiousness  fraud  covid was a normal flu  now it s bacterial pneumonia or infections from mask wearing,[],[fraud, infections],negative
1177,kirstentelliott: 250 deaths yesterday from covid   over 800 in the last week  but sajid javid says it's just like flu and not to worry,[like],[worry],neutral
1178,davidanber: things that existed prior to 2020:,[],[],neutral
1179,missearthly:  sadhgurujv  un_water  unccd  unep  cpsavesoil we are a generation of sick people  everyday from kids to adults everyone i,[],[sick],negative
1180,purveyorpundit:  ericmmatheny haven't had as much as a cold in at least 4 yrs,[],[cold],negative
1181,lorijen33441 https:  t co bmhanji4kb,[],[],neutral
1182,valeriecomplex: millennials have survived thru this  amp  much more,[],[],neutral
1183,stop5gct: here we go   ct will mandate for little kids in 3,[],[],neutral
1184,blckd_com_pllld: the elites watch people die every day from lack of healthcare,[],[die, lack],negative
1185,pvtjokerus i had covid a few months ago and thought i had a strep throat  no fever  just like the flu  no loss of smell or taste  now i am 100 fine  and btw i am a cancer survivor  i thought people should know,[like, fine, survivor],[loss, fever, cancer, smell],negative
1186,nqubekoprogress you're right it doesn't,[right],[],positive
1187,here we go   ct will mandate for little kids in 3,[],[],neutral
1188,jeanrees10: 🧵 on elderly,[],[],neutral
1189,dude so many people at work be catching this super viral cold and flu and i m sitting here with my mask on just fine lmao like gee i wonder do masks  really  make that big of a difference 🙄  duh ofc they do,[super, fine, like, work, wonder],[cold],positive
1190,teapainusa it's just like,[like],[],positive
1191,luisaporritt it s now 23mar 22  amp  i still don t know a single person who has died from this  covid  coronavirus  amp  it s been 24 months,[],[died],negative
1192,mummyblade1  heachy_1979 it if it was negative you'd of gone and infected everyone with flu  another virus  hope your mum got home ok,[],[infected, negative, virus],negative
1193,pphaneuf  hfiguiere the powers that be will pry my mask from my cold,[],[pry, cold],negative
1194,kirstentelliott: 250 deaths yesterday from covid   over 800 in the last week  but sajid javid says it's just like flu and not to worry,[like],[worry],neutral
1195,adrianomotta esses treinadores apostam em seguran a defensiva e reatividade  o flu sempre come a entregando bola e espa o  depois,[],[],neutral
1196,_chyort  patriottakes why would any govt waste all that time,[],[waste],negative
1197,coronavirus is the flu,[],[],neutral
1198,johnsgunn: and a visual comparison,[],[],neutral
1199,johnsgunn: one of the latest "let 'er rip" points people keep harping on is "covid is less deadly than the flu per case ",[],[deadly],negative
1200,everyone i know is becoming sick with flu like illness,[like],[sick, illness],negative
1201,phixated  85mf  hegelbon  shamus_clancy i got swine flu right around that time too it was definitely here and it was one of the worst illnesses i've ever had in my life don't know how anyone could possibly have done baseball things,[right],[worst],neutral
1202,everytime his pediatrician give him a flu shot he gets soooo sick   he hasn t been sick in monthsssssssssss   dont get it moms,[],[sick],negative
1203,kirstentelliott: 250 deaths yesterday from covid   over 800 in the last week  but sajid javid says it's just like flu and not to worry,[like],[worry],neutral
1204,sandp501  404_err0r_01101  unusual_whales ey  😂 what s condoms got to do with it  use condoms to not get pregnant  or avoid stds,[],[],neutral
1205,chadmaar let me in flu,[],[],neutral
1206,risahoshinomd omg please  did you wear masks during flu season,[],[],neutral
1207,jeanrees10: 🧵 on elderly,[],[],neutral
1208,leavesyoucaneat  heartylaff  daveanthony  drleanawen  denise_dewald kids have comparable risk from influenza as c19  yet no one suggested spending trillions of dollars to prevent the flu in children  isn't that odd,[],[risk, odd],negative
1209,pwsimerimiaw  bidoogiri as it happens i believe the facts you present are skewed,[],[],neutral
1210,cha_myoung: 22  for those who say  this is just like the flu,[like],[],positive
1211,two_human: hella was infected with the spanish flu and she was on her deathbed at the age of 13 with lucifer's request,[],[infected],negative
1212,flu then,[],[],neutral
1213,shawndhaney  claytravis then it s a flu shot  covid jabs don t have an efficacy rate worth pushing for the general pop  and they did state repeatedly 2 shots and you d be done one year ago  whoops  almost like true trials would have shown the failure and drop in efficacy huh,[like, worth],[failure],positive
1214,sabrina15647051  scrowder bs      flu deaths were marked as covid so either you are a complete moron or you work for the devils,[work],[bs, moron],negative
1215,aiexobroca: gol do flu 1x0 no botafogo,[],[],neutral
1216,aginnt: expert class:,[],[],neutral
1217,sandrap77438408  smnweekly good thing the flu is nothing    right,[right, good],[],positive
1218,i m sorry to say this but nearly everyone i know,[],[sorry],negative
1219,carolynheppell aaw that's lovely for your dad  i bet they're waiting for him  robin here waits 1st thing in morn too atm when i'm about to feed hens  so i take its food  amp  wild birds in one direction,[lovely],[wild],neutral
1220,deco tamb m era brincadeira,[],[],neutral
1221,xvitheheartless aww sounds like the start if flu or sudden weather change,[like],[],positive
1222,smnweekly: day 5 of justice thomas being hospitalized with a  flu  that is not covid,[],[],neutral
1223,masekovalencia: there s another dangerous flu flying around  be safe guys 😥,[safe],[dangerous],neutral
1224,ummm20682559  mattdodson12  geopol2030  draseemmalhotra are blood clots part of that "flu like symptom " 😂😂😂,[like],[symptom],neutral
1225,hella was infected with the spanish flu and she was on her deathbed at the age of 13 with lucifer's request,[],[infected],negative
1226,bird flu can be devastating to birds and spreads rapidly,[],[devastating],negative
1227,bbcnews: more than 82,[],[],neutral
1228,my flu test came back positive i feel so bad 🥺,[positive],[bad],neutral
1229,emmanagle: being irish is having the worst flu but feeling guilty for not going to work because it's not covid,[work],[guilty, worst],negative
1230,wu flu kills https:  t co o40qssgdmc,[],[kills],negative
1231,wu flu kills https:  t co o40qssgdmc,[],[kills],negative
1232,tfholler8116 or flu or pneumonia or any number of other diagnoses,[],[],neutral
1233,55bellechasse: quelqu un conna t cette histoire  2009,[],[],neutral
1234,a1magfly:  ztpetrizzo there seems to be some mysterious illness affecting these truckers  it's flu like and causes severe body aches  i,[like],[aches, mysterious, severe, illness],negative
1235,i know it s just the man flu  but i hate being sick  this is bs,[],[bs, hate, sick],negative
1236,agentsmith_nz: my pick for cindy's covid announcement tomorrow,[],[],neutral
1237,helbent51  jdburke64  katiepavlich had china flu for 8 hours 13 months ago  had antibodies tested  literally off the charts  dr said avoid vaxx if possible  they are seeing lots of post covid vaxxed people getting cf multiple times  my science,[],[],neutral
1238,later i changed to a hormonal bc  amp  experienced some relief from my monthly 'flu ' folks said my new bc would give me "lighter periods" so i assumed my periods had just been "heavy "  and they were  i would soak through doubled up super max pads and tampons in 2 3 hours    2 x,[super, relief],[],positive
1239,senatormenendez: if we re going to learn to live with covid like we ve adapted to living with the flu,[like],[],positive
1240,draquinosays  actionnewsjax maybe a combo flu covid shot 🧐🧐🧐,[],[],neutral
1241,alixg_2 march 2020  the numbers just didn't seem out of line with a bad flu season for hospitalizations deaths,[],[bad],negative
1242,point_pedro  physiogougeon  donmartinctv  thejagmeetsingh  justintrudeau i know exactly what you mean  going to a doctor's office or even outpatient will lead to multiple upselling events,[lead],[],positive
1243,keithsargent24: the flu i m stuck with right now is worse than any strain of covid i ve had,[right],[strain, stuck, worse],negative
1244,baddiestreams sounds like just a man flu,[like],[],positive
1245,digonamerica i'm pretty sure i didn't claim it was medical advice,[pretty],[],positive
1246,tarmac112 flown birds and bred them since i was 18,[],[],neutral
1247,tossingpeanuts  m4rky147  mcgiff 🤦   🤦   🤦    turn off msm n give your head peace  there was never a pandemic and covid is as likely to kill you as the flu  now back behind your sofa n hide you wet wipe 🤦   🤦   🤦    n don't forget your face mask 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,[peace],[kill],neutral
1248,orlans17  mattdodson12  geopol2030  draseemmalhotra are you really going to question someone who studied virology and microbiology back in 2014,[],[],neutral
1249,newshubnz give it up newshub  flu has always existed always has  move on  https:  t co dddmlup5pw,[],[],neutral
1250,spencermorgan93 it s an odd response from the man who channeled so much hysteria and wanted everyone to be terrified of covid,[],[hysteria, odd],negative
1251,invitrogen you can't even cure a common cold or flu,[cure],[cold],neutral
1252,drbarnesbangor:  jeremyvineon5 what is on the rise now is ba1 2   son daughter of omicron   it is even weaker   i estimate the cfr to b,[],[weaker],negative
1253,montagueterrie: i'm still confused as to why triple jabbed people who are still contracting and transmitting a flu virus are allowed to,[],[confused, virus],negative
